"user_id","full_name","email","password_hash","role","is_active","created_at","updated_at"
"0b350943-c4ee-4e40-b052-3526c9d3a06b","Kriti Verma","kriti.verma@example.com","$2b$10$P8if6ely1sls62kkeQ2xM.Yb5Ln7jiW/mVGmTF.Po8NobR3x5YZ3.","operator","true","2026-07-05 15:25:06.989089+00","2026-07-05 15:25:06.989089+00"
"3ff5330a-c777-4d47-b10f-bfd7f994127f","Priya Patel","priya.patel@example.com","$2b$10$P8if6ely1sls62kkeQ2xM.Yb5Ln7jiW/mVGmTF.Po8NobR3x5YZ3.","operator","true","2026-07-05 15:25:06.989089+00","2026-07-05 15:25:06.989089+00"
"62216ce1-3e39-4272-8410-37482050398b","Sneha Reddy","sneha.reddy@example.com","$2b$10$P8if6ely1sls62kkeQ2xM.Yb5Ln7jiW/mVGmTF.Po8NobR3x5YZ3.","manager","true","2026-07-05 15:25:06.989089+00","2026-07-05 15:25:06.989089+00"
"66a3a0dd-3380-4aef-9287-3862baaec8f6","Arjun Nair","arjun.nair@example.com","$2b$10$P8if6ely1sls62kkeQ2xM.Yb5Ln7jiW/mVGmTF.Po8NobR3x5YZ3.","operator","true","2026-07-05 15:25:06.989089+00","2026-07-05 15:25:06.989089+00"
"92301c87-ac3a-488a-9bfe-eee276e92113","Rajesh Kumar","rajesh.kumar@example.com","$2b$10$P8if6ely1sls62kkeQ2xM.Yb5Ln7jiW/mVGmTF.Po8NobR3x5YZ3.","operator","true","2026-07-05 15:25:06.989089+00","2026-07-05 15:25:06.989089+00"
"a32fe511-5bec-4d65-8843-71ddc51a3f16","Ananya Rao","ananya.rao@example.com","$2b$10$P8if6ely1sls62kkeQ2xM.Yb5Ln7jiW/mVGmTF.Po8NobR3x5YZ3.","operator","true","2026-07-05 15:25:06.989089+00","2026-07-05 15:25:06.989089+00"
"a7a35c1b-41b8-4501-9572-23dc9175c30b","Gaurav Gupta","gaurav.gupta@example.com","$2b$10$P8if6ely1sls62kkeQ2xM.Yb5Ln7jiW/mVGmTF.Po8NobR3x5YZ3.","operator","true","2026-07-05 15:25:06.989089+00","2026-07-05 15:25:06.989089+00"
"abc1a763-cfeb-4305-8257-4bd5ff23a35c","Pooja Hegde","pooja.hegde@example.com","$2b$10$P8if6ely1sls62kkeQ2xM.Yb5Ln7jiW/mVGmTF.Po8NobR3x5YZ3.","operator","true","2026-07-05 15:25:06.989089+00","2026-07-05 15:25:06.989089+00"
"b65b6657-78f5-4ea2-85c1-697269f2c241","Meera Nair","meera.nair@example.com","$2b$10$P8if6ely1sls62kkeQ2xM.Yb5Ln7jiW/mVGmTF.Po8NobR3x5YZ3.","operator","true","2026-07-05 15:25:06.989089+00","2026-07-05 15:25:06.989089+00"
"beaa5085-c129-4dfa-91ed-5647aaa4adb1","Deepa Joshi","deepa.joshi@example.com","$2b$10$P8if6ely1sls62kkeQ2xM.Yb5Ln7jiW/mVGmTF.Po8NobR3x5YZ3.","manager","true","2026-07-05 15:25:06.989089+00","2026-07-05 15:25:06.989089+00"
"c7ee83dc-51ce-49db-ba5c-b3a73304db7a","Amit Sharma","amit.sharma@example.com","$2b$10$P8if6ely1sls62kkeQ2xM.Yb5Ln7jiW/mVGmTF.Po8NobR3x5YZ3.","admin","true","2026-07-05 15:25:06.989089+00","2026-07-05 15:25:06.989089+00"
"c9db1620-0299-4d8f-b2bb-85f5b6ab3a3f","Rohan Das","rohan.das@example.com","$2b$10$P8if6ely1sls62kkeQ2xM.Yb5Ln7jiW/mVGmTF.Po8NobR3x5YZ3.","operator","true","2026-07-05 15:25:06.989089+00","2026-07-05 15:25:06.989089+00"
"e607e3bb-cf86-4c37-b155-81cd97f7b3cb","Aditya Goel","aditya.goel@example.com","$2b$10$P8if6ely1sls62kkeQ2xM.Yb5Ln7jiW/mVGmTF.Po8NobR3x5YZ3.","operator","true","2026-07-05 15:25:06.989089+00","2026-07-05 15:25:06.989089+00"
"ec8c3de7-2d2a-4159-84d0-5c6b9cfb039d","Sanjay Mishra","sanjay.mishra@example.com","$2b$10$P8if6ely1sls62kkeQ2xM.Yb5Ln7jiW/mVGmTF.Po8NobR3x5YZ3.","operator","true","2026-07-05 15:25:06.989089+00","2026-07-05 15:25:06.989089+00"
"f8188b57-7bb9-4e0b-a0a0-01d176ef07ed","Vikram Singh","vikram.singh@example.com","$2b$10$P8if6ely1sls62kkeQ2xM.Yb5Ln7jiW/mVGmTF.Po8NobR3x5YZ3.","operator","true","2026-07-05 15:25:06.989089+00","2026-07-05 15:25:06.989089+00"
